poem_meta_info,x_data,allu_name,label
宋黄庭坚《见子瞻灿字韵诗次韵三首》之三,诚求活国医，何忍弃和缓。,活国医,九流部
元张昱《拙逸诗》,卖药不二价，悬壶无姓名。,悬壶,九流部
宋黄庭坚《戏答史应之三首》之二,收得千金不龟药，短裙絖统暮江寒。,不龟药,九流部
唐皇甫冉《赠郑山人》,庞公采药去，莱氏与妻行。,庞公采药,九流部
唐李商隐《常娥》,常娥应悔偷灵药，碧海青天夜夜心。,偷灵药,九流部
北周庾信《和张待中述怀》,时占季主龟，乍贩韩康药。,韩康药,九流部
宋苏拭《和陶港读山海经诗十三首》之八,廖井窖丹砂，红泉涌异常。,廖井,九流部
唐杜甫《奉送二十三舅录事之摄彬州》,彬州颇凉冷，橘井尚凄清。,橘井,九流部
唐韦庄《王道者》,五云遥指海中央，金鼎曾传肘后方。,肘后方,九流部
宋米芾《寄薛郎中绍彭二首》之二,怀素獦獠小解事，仅趋平淡如肓医。,肓医,九流部
清袁枚《病起六首》之五,学仙拟作五禽戏，弹指刚偿百日灾。,五禽戏,九流部
明杨基《皂角滩》,牛刀惯熟中肯綮，郢斧神捷回锋棱。,中肯綮,九流部
清赵翼《文端师谕葬事毕余嘱其二子入京诗以志愧》,衣冠优孟惭何与，剧喜师门免负薪。,衣冠优孟,九流部
宋陆游《雨后殊有秋意》,只叹鼻端无妙斫，岂知弦外有遗音。,妙斫,九流部
宋苏拭《和梅户曹会猎铁沟》,向不如皋闲射雉，归来何以得卿卿？,如皋射雉,九流部
宋黄庭坚《寄上叔父夷仲三首》之一,庖丁解牛妙世故，监市履豨知民心。,庖丁解牛,九流部
唐李瀚《蒙求》,纪昌贯虱，养由号猿。,贯虱,九流部
唐元稹《八骏图》,车无轮扁析，辔无王良把。,轮扁斫,九流部
唐韩愈《岳阳楼别窦司直》,屠龙破千金，为艺亦云亢。,屠龙,九流部
唐韩偓《故都》,掩鼻计成终不觉，冯驩无路敩鸡鸣。,敩鸡鸣,九流部
唐杜牧《昔事文皇帝三十二韵》,斗巧猴雕刺，夸[走乔]索挂跟。,猴雕刺,九流部
朱桑则《寄运曲》,一棺痛慈母，急为卜牛眠。,卜牛眠,九流部
宋黄庭坚《读方言》,卜师非熊罴，梦相解靡索。,卜师,九流部
唐杜甫《游子》,厌就成都卜，休为吏部眠。,成都卜,九流部
唐陈子昂《酬田逸人游岩见寻不遇题隐居里壁》,传道寻仙友，青囊卖卜来。,青囊卖卜,九流部
唐元稹《答姨兄胡灵之见奇五十韵》,理家烦伯舅，相宅尽吾兄。,相宅,九流部
宋朱松《蔬饭》,平生食肉相，萧瑟何足赖。,食肉相,九流部
唐李商隐《寄怀韦蟾》,谢家离别正凄凉，少傅临岐赌佩囊。,赌佩囊,九流部
唐孙元晏《晋·谢公赌墅》,自从乞与羊昙后，赌墅功成更有谁？,赌墅,九流部
唐温庭筠《开成五年秋书怀一百韵》,亡羊犹博簺，牧马倦呼卢。,博簺,九流部
清魏源《关中览古·骊山》,鹿争蕉中梦，柯烂斧边弈。,斧边弈,九流部
宋苏轼《司马君实独乐园》,樽酒乐馀春，棋局消长夏。,棋局消夏,九流部
唐张枯《题憎壁》,棋因王粲覆，鼓是祢衡挝。,棋覆,九流部
清赵翼《读史》之三,谢傅围棋虽故事，曹参醇酒是何时？,谢傅围棋,九流部
元袁桷《秋围》,七札巧穿谁矢直，六鳌连举我竿长。,七札穿,九流部
唐陆龟蒙《杂讽九首》之四,女蜗炼五石，天缺犹可补。,女娲,九流部
《古诗十九首》之十五,仙人王子乔，难可与等期。,王子乔,九流部
唐陆龟蒙《人林屋洞》,自非方瞳人，不敢窥洞口.,方瞳人,九流部
唐杜甫《荆南兵马使太常卿公大食刀歌》,苍水使者扪赤绦，尤伯国人罢钓鳌。,龙伯国人,九流部
唐司空曙《送曲山人之衡州》,白石先生眉发光，已分甜雪饮红浆。,白石先生,九流部
宋陆游《书适》,太平固自多遗老，独往何妨是斥仙。,斥仙,九流部
清顾炎武《拟唐人五言八韵·班定远投笔》,太乙藜初降，兰台露未晞。,太乙,九流部
唐李商隐《七月二十八日夜与王郑二秀才听雨后梦作》,瞥见冯夷殊怅望，鲛绡休卖海为田。,冯夷,九流部
唐杜光庭《怀古今》,夸父兴怀于落照，田文起怨于鸣琴。,夸父,九流部
清薛时雨《苦热行示王小初太守》,十日并出天地焦，后羿一射骄阳消。,后羿一射,九流部
唐李白《赠张相镐》,惟有安期舄，留之沧海隅。,安期舄,九流部
唐武元衡《同苗郎中送严侍御赴黔中国访他源之事》,莫问阮郎千古事，绿杨深处翠霞空。,阮郎千古事,九流部
唐李白《梁甫吟》,帝旁投壶多玉女，三时大笑开电光，倏烁晦冥起风雨。,投壶玉女,九流部
来陆游《乙丑夏秋之交小舟早夜往来湖中戏成绝句》,千年未息灵胥怒，卷地潮声到枕边。,灵胥,九流部
宋苏轼《无锡道中赋水车》,天工不见老翁泣，唤取阿香推雷车。,阿香,九流部
唐王勃《散关晨度》,白马高谭去，青牛真气来。,青牛真气,九流部
唐孟浩然《清明日宴梅道士房》,忽逢青鸟使，邀人赤松家。,青鸟使,九流部
清赵翼《梅花诗》之三,好同姑射称仙子，会到罗浮化美人。,罗浮美人,九流部
唐李白《古风》之十七,金华牧羊儿，乃是紫烟客。,金华牧羊儿,九流部
来苏轼《正月一日雪中过淮谒客回作》之一,从来修月手，合在广寒宫。,修月手,九流部
唐孟浩然《和张二自稷县还途中遇雪》,歌疑郢中客，态比洛川神。,洛川神,九流部
唐李商隐《无题二首》之二,神女生涯原是梦，小姑居处本无郎。,神女1,九流部
唐孟浩然《初春汉中漾舟》,羊公岘山下，神女汉皋曲。,神女2,九流部
唐陈子昂《南山家园林木交映盛夏五月幽然清凉独坐思远率成十韵》,凤韵仙人策，鸾歌素女弦。,素女,九流部
唐杜甫《寄司马山人十二韵人》,家家迎蓟子，处处识壶公。,壶公,九流部
北周座信《寻周处士弘让》,试逐赤松游，披林对一丘。,逐赤松,九流部
唐李山甫《赠徐三十》,从今不羡乘槎客，曾到三星列宿傍。,乘槎客,九流部
