allu_name,x_data,label
活国医,《国语·晋语八》：“平公有疾，秦景公使医和视之，出曰：不可为也，……文子曰：医及国家乎？”对曰：上医医国，其次疾人，固医官也。”,九流部#人物部#政事部
不龟药,庄子·逍遥游》：“宋人有善为不龟（皮肤冻裂）手之药者，世世以洴澼絖（漂洗绵絮）为事。客闻之，请买其方百金，聚族而谋曰：我世世为洴澼絖，不过数金；今一朝而留技百金，请与之。客得之，以说吴王。越有难。吴王使之将。冬，与越人水战，大败越人，裂地而封之。能不龟手一也，或以封，或不免于洴澼絖所用之异地。”,九流部#人体部
橘井,晋葛洪《神仙传·苏仙公》：苏仙公（苏耽）汉文帝时得道，“乃跪白母，曰：某受命当仙，被召有期，仪卫已至，当违色养（奉养）。怕便拜辞，母子欣欣。母曰：“汝去之后，使我如何存活？先生曰：明年天下疾疫，庭中井水，据边橘树，可以代养。井水一升，橘叶一枚、可疗一人。”#晋葛洪《神仙传·苏仙公》：苏仙公（苏耽）汉文帝时得道，“乃跪白母，曰：某受命当仙，被召有期，仪卫已至，当违色养（奉养）。即便拜辞，母子歔欷。母曰：“汝去之后，使我如何存活？先生曰：明年天下疾疫，庭中井水，檐边橘树，可以代养。井水一升，橘叶一枚、可疗一人。”,九流部#伦类部
肘后方,《晋书·葛洪传）：“（葛洪）自号抱朴子，因以名书。其余所著……《肘后要急方》四卷。……举尸人棺，甚轻，如空衣，世以为尸解得仙云。”,九流部#人体部
庖丁解牛,《庄子·养生主》：“庖丁为文惠君解牛。技艺十分精妙。“文惠君曰：嘻！善哉！技盖至此乎？庖丁释刀对曰：臣之所好者道也，进乎技矣，始臣之解牛之时，所见无非牛者。三年之后，未尝见全牛也。方今之时，臣以神遇，而不以目视，官知止而神欲行，依乎天理，批大郤，道大窾，因其固然，技经肯綮之未尝，而况大軱乎！良庖岁更刀，割也；族庖月更刀，折也。今臣之刀十九年矣，所解数千牛矣，而刀刃若新发于硎。彼节者有间，而刀刃者无厚；以无厚入有间，恢恢乎其于游刃，必有余地矣。是以十九年而刀刃若新发于硎。”,动物部#人物部#器用部#九流部#人体部
轮扁斫,《庄子·天道》：“桓公读书于堂上，轮扁斫轮于堂下，释椎凿而上，问桓公曰：敢问公之所读者何言邪公曰：圣人之言也。曰：圣人在乎？公曰：已死矣。曰：然则君之所读者，古人之糟魄已夫？桓公曰：寡人读书，轮人安得议乎？有说则可，无说则死。轮扁曰：臣也，以臣之事观之，斫轮徐则甘而不固，疾则苦而不人，不徐不疾，得之于手，而应于心，口不能言，有数存焉于其间，臣不能以喻臣之子，臣之子亦不能受之于臣，是以行年七十而老斫轮。古之人与其不可传也，死矣，然则君之所读者，古人之糟魄已夫！”,人物部#器用部#九流部#文明部#人体部
屠龙,《庄子·列御寇》：“朱汗漫学屠龙于支离益，单千金之家，三年技成。而无所用其巧。,动物部#九流部#人物部
猴雕刺,《韩非子·外储说左上》：“宋人有请为燕王以棘刺之端为母猴者，必三月斋然后能观之，燕王因以三乘养之。右御、冶工言王曰：臣闻人主无十日不燕之斋，今知王不能久斋以观无用之器也，故以三月为期。凡刻削者，以其所以削必小。今臣冶人也，无以为之削，此不然物也、王必察之。王因因而问之，果妄，乃杀之。”,动物部#九流部#植物部
卜牛眠,《晋书·周光传》：“初，陶侃微时，丁艰，将葬，家中忽失牛而不知所在。遇一老父，谓曰：前岗见一牛眠山污中，其地若葬，位极人臣矣。”……言讫不见。侃寻牛得之，因葬其处。”,动物部#九流部#地理部#人事部
成都卜,《汉书·王贡两龚鲍传序》：“（严）君平卜筮于成都市，……裁日阅数人，得百钱足自养，则闭肆下帘而授《老子》。博览亡不通，依老子、严周之指著书十余万言。”,九流部#人物部#器用部#人事部
